AlbumId,Title,ArtistId
1,Vector Vixens Volume II,1
2,World Class Chill,2
3,Critical Heart,2
4,Tech Bass Life,1
5,Action After Life,3
6,Collaborative Rock,4
7,Revolutionary Hype,5
8,Compelling Nurses,6
9,Turn Hop Time,7
10,Reinvent Dog Days,8
11,Best Of Breed,8
12,Target Slam,9
13,Efficient Beats,10
14,Next Generation Guys,11
15,Granular Grape,11
16,Cross Chick Cool,12
17,Transform Edge Vortals,12
18,Clicks And Mortar,13
19,Umbrella Architecture Wrap,14
20,Envisioneer Interactive,15
21,Enhanced Friction,16
22,Dot Com Mindshare,16
23,Harness Partnerships,17
24,Maximize Best Time,18
25,Matrix Play Puppy,18
26,Money Real Five,19
27,Dynamic Hip Fresh,19
28,Back In The Day,20
29,Incubate,21
30,Distributed Depliomats,22
31,Extra Sands Linked,23
32,End To End Method Rock,21
33,Virtual Vibes,24
34,Timely Tickle Yap,6
35,Easy Beats No Longer,50
36,Target Breed Applications,51
37,Leverage,52
38,Wisdom Swap,53
39,Positive People,54
40,Ubiquitous Mindshare,55
41,User Centric Tunes,56
42,Convergence Baby,57
43,Methodology Melody,58
44,Fire Visionary,22
45,Sticky Feet,21
46,Rose Water,59
47,Open Portal Grad,37
48,Cultivate Love,68
49,Channel Hype,68
50,Embracing District Drones,58
51,Vortex Funny Boy,69
52,Hip Star Sunny,70
53,Bleeding Edge Trap,21
54,Robot Infrastructures,76
55,Harness Security Mixer,76
56,Grown And Sassy,77
57,Twenty Four Hipster,77
58,Relationship Hater,58
59,Drive Key Portals,58
60,Yo Hendrix Cool,58
61,Nowhere To Go,58
62,Party Star Rock,58
63,Click Brainstorm Poppy,58
64,Cut To The Chase,58
65,Wear Everthing Out,58
66,Rent Be Due,58
67,Hey Hey Hey,78
68,Mapped Beat Global,79
69,Story Time All The Time,80
70,Media Minded Meddlers,80
71,Evolving Echo,41
72,Snap Clap Whistle,81
73,Evicted,81
74,Big Deal,82
75,Friends,82
76,Liars Hanging On The Corner,82
77,Breezey Ice Breaker,82
78,Get Hyped,83
79,Iterate,84
80,Blue Album,84
81,Riot Hits II,84
82,Action Just In Time,84
83,Next Generation Ex,85
84,Synergize Niches In HiDef,86
85,Apple Core Tunes,27
86,Door Days,27
87,Volume Booster,27
88,Hoodoo Beyond Step,87
89,Infrastructures Wop,54
90,Viral Action Lost,88
91,Platform Boogie,88
92,Compelling Sisters,88
93,embrace clicks-and-mortar platforms,89
94,Front Business,90
95,Visualize Happy,90
96,Open Closed Shut,90
97,Drill Back War,90
98,House Cost Everything,90
99,Streaming Sounds,90
100,Landlord,90
101,Band Life,90
102,Yelling Shower Band,90
103,Drowning,90
104,Whole Heart Volume III,90
105,Impactful Beats,90
106,Convergence Life Love,90
107,Embrace Sizzle Bop,90
108,Chaos Boot Beats,90
109,Magnetic Music,90
110,Morph Contraband,90
111,Settle The Score,90
112,Killer Ramp Rock,90
113,Niches Next Time,90
114,Webster Wax,90
115,Fast Talker,91
116,Yoga Yuppie,92
117,Zootopick,92
118,Public Costume Dancer,92
119,Unleashed Beats Volume I,93
120,Seize Top Beat Love,94
121,Metric Music Muse,95
122,System Storage Van,46
123,Right Left Center,96
124,Sexy Sassy Coward,97
125,Hum Hush Puppy,98
126,All The Words,52
127,Carmin The Cattastick,22
128,New Things Old Things,22
129,Waltz Music Galaxy,22
130,Eyeballs Hunt Legacy,22
131,Back To The Yard,22
132,Seven Lovely Gifts,22
133,Folk Gonna Funk,22
134,Getaway Gritty Brothers,22
135,Sir Funk Beat Inspired,22
136,Wage War Concertos,22
137,Transform Sound,22
138,Mission Critical,22
139,Added Beats By Day,99
140,Burro Pop,99
141,Salty But Sweet,100
142,Evening Dance,101
143,Aqua Rich Rhythm,101
144,Purple Zoo,102
145,All The Time,103
146,We Take Each Step,104
147,Sugar Honey Pie,105
148,Life Lived Out Loud,50
149,Samba Serious,50
150,Side Of The Sun,50
151,Holistic Heartbeat,50
152,Bricks Cars And Trucks,50
153,Hip Hop Greatest Hits,50
154,Sleeping After Noon,50
155,CafŽ Copa Pop,50
156,Funkphonic Palooza,50
157,The Fake One,68
158,Plugged In To The Sound,42
159,Unleased Boom Beats,42
160,The Real Classics,106
161,World Wide Sound Hound,108
162,Light Layered Love,109
163,Pasta Mix Volume VI,110
164,Master Mix Volume II,110
165,Carnaval Party: Trinidad,111
166,One Time For The Lovers,112
167,Where When Why,113
168,Hoot Drums Strings,113
169,Evolution Syndicate,113
170,Mesh Magenta Money,114
171,Brazil Brilliant Beats,114
172,Vocals On Fire,114
173,White Sands Sun Rise,114
174,Tropical Times With You,114
175,Dance Dance Get Up,115
176,Dust Off Those Dance Shoes,116
177,Moody Music Volume III,117
178,Iron Feet,118
179,Number One Guy,118
180,Coffee Grinder,118
181,Be With Me Today,118
182,Touched,118
183,Joyful Moments With You,120
184,Ace Jet Always,121
185,Feeling Good,51
186,Baby Nino,51
187,California Sleeping,122
188,Live Banana Boy,124
189,Counting Cherries,124
190,International Ladies,124
191,The Best of Walter,125
192,Vault Times Two,126
193,repurpose virtual platforms,127
194,transition scalable ROI,127
195,Custom Cream of Tarter,127
196,Deluxe Disaster,128
197,Blindsided Betty,59
198,Red Rider Rocker,59
199,Work Play Rest,130
200,Looking Back,130
201,Stumbling Stereo,131
202,All Night Long,131
